,Open,High,Low,Close,Adj Close,Volume,Call Price,Put Price,%K,%D,SMA 183,SMA 365,SMA 1095
2011-03-18,4571.39990234375,4633.7998046875,4563.39990234375,4626.39990234375,4626.39990234375,0.0,4626.39990234375,81.37350999803334,,,,,
2011-03-19,4571.39990234375,4633.7998046875,4563.39990234375,4626.39990234375,4626.39990234375,0.0,4626.39990234375,81.37350999803334,,,,,
2011-03-20,4571.39990234375,4633.7998046875,4563.39990234375,4626.39990234375,4626.39990234375,0.0,4626.39990234375,81.37350999803334,,,,,
2011-03-21,4625.2998046875,4643.10009765625,4606.39990234375,4642.7998046875,4642.7998046875,0.0,4642.7998046875,81.66196703709299,,,,,
2011-03-22,4648.89990234375,4677.0,4636.7001953125,4643.39990234375,4643.39990234375,0.0,4643.39990234375,81.67252212391243,,,,,
2011-03-23,4640.7998046875,4665.7001953125,4637.5,4652.39990234375,4652.39990234375,0.0,4652.39990234375,81.83082266114253,,,,,
2011-03-24,4660.0,4699.60009765625,4660.0,4699.60009765625,4699.60009765625,0.0,4699.60009765625,82.66102446951301,,,,,
2011-03-25,4705.39990234375,4763.0,4705.39990234375,4742.60009765625,4742.60009765625,0.0,4742.60009765625,83.41734925850129,,,,,
2011-03-26,4705.39990234375,4763.0,4705.39990234375,4742.60009765625,4742.60009765625,0.0,4742.60009765625,83.41734925850129,,,,,
2011-03-27,4705.39990234375,4763.0,4705.39990234375,4742.60009765625,4742.60009765625,0.0,4742.60009765625,83.41734925850129,,,,,
2011-03-28,4733.39990234375,4743.2998046875,4723.7001953125,4733.60009765625,4733.60009765625,0.0,4733.60009765625,83.25904872127118,,,,,
2011-03-29,4730.60009765625,4758.2998046875,4721.5,4755.7998046875,4755.7998046875,0.0,4755.7998046875,83.64951822675981,,,,,
2011-03-30,4763.2001953125,4839.2001953125,4763.2001953125,4822.2001953125,4822.2001953125,0.0,4822.2001953125,84.81743128322937,,,,,
2011-03-31,4828.7001953125,4845.7998046875,4813.0,4837.89990234375,4837.89990234375,0.0,4837.89990234375,85.09357262294071,97.20258318852608,,,,
2011-04-01,4836.10009765625,4878.7998046875,4836.10009765625,4861.7998046875,4861.7998046875,0.0,4861.7998046875,85.51394677635876,94.61001735457992,,,,
2011-04-02,4836.10009765625,4878.7998046875,4836.10009765625,4861.7998046875,4861.7998046875,0.0,4861.7998046875,85.51394677635876,94.61001735457992,95.47420596589531,,,
2011-04-03,4836.10009765625,4878.7998046875,4836.10009765625,4861.7998046875,4861.7998046875,0.0,4861.7998046875,85.51394677635876,93.75917544252744,94.32640338389575,,,
