,Open,High,Low,Close,Adj Close,Volume,Call Price,Put Price,%K,%D,SMA 183,SMA 365,SMA 1095
2011-03-18,18251.1796875,18259.609375,17849.529296875,17878.810546875,17878.810546875,16400.0,17878.810546875,307.15003527070087,,,,,
2011-03-19,18251.1796875,18259.609375,17849.529296875,17878.810546875,17878.810546875,16400.0,17878.810546875,307.15003527070087,,,,,
2011-03-20,18251.1796875,18259.609375,17849.529296875,17878.810546875,17878.810546875,16400.0,17878.810546875,307.15003527070087,,,,,
2011-03-21,17984.720703125,18007.73046875,17792.169921875,17839.05078125,17839.05078125,12400.0,17839.05078125,306.4669801322142,,,,,
2011-03-22,17929.08984375,18041.380859375,17878.80078125,17988.30078125,17988.30078125,11800.0,17988.30078125,309.03102893422835,,,,,
2011-03-23,17972.0390625,18218.279296875,17950.169921875,18206.16015625,18206.16015625,13400.0,18206.16015625,312.7737563679053,,,,,
2011-03-24,18286.419921875,18373.970703125,18269.3203125,18350.740234375,18350.740234375,11200.0,18350.740234375,315.2575779833928,,,,,
2011-03-25,18480.689453125,18858.30078125,18480.689453125,18815.640625,18815.640625,15200.0,18815.640625,323.24436049352965,,,,,
2011-03-26,18480.689453125,18858.30078125,18480.689453125,18815.640625,18815.640625,15200.0,18815.640625,323.24436049352965,,,,,
2011-03-27,18480.689453125,18858.30078125,18480.689453125,18815.640625,18815.640625,15200.0,18815.640625,323.24436049352965,,,,,
2011-03-28,18799.7109375,19024.1796875,18799.5703125,18943.140625,18943.140625,12800.0,18943.140625,325.43475394248645,,,,,
2011-03-29,18949.5703125,19226.2109375,18944.8203125,19120.80078125,19120.80078125,17200.0,19120.80078125,328.48687662790326,,,,,
2011-03-30,19178.76953125,19357.099609375,19178.76953125,19290.1796875,19290.1796875,12200.0,19290.1796875,331.3967311113657,,,,,
2011-03-31,19339.75,19575.16015625,19284.349609375,19445.220703125,19445.220703125,16200.0,19445.220703125,334.0602669932842,92.7122734258526,,,,
2011-04-01,19463.109375,19562.55078125,19382.349609375,19420.390625,19420.390625,12400.0,19420.390625,333.63369726416977,91.31966466971413,,,,
2011-04-02,19463.109375,19562.55078125,19382.349609375,19420.390625,19420.390625,12400.0,19420.390625,333.63369726416977,91.31966466971413,91.78386758842696,,,
2011-04-03,19463.109375,19562.55078125,19382.349609375,19420.390625,19420.390625,12400.0,19420.390625,333.63369726416977,91.31966466971413,91.31966466971413,,,
2011-04-04,19473.9296875,19729.599609375,19449.359375,19701.73046875,19701.73046875,10600.0,19701.73046875,338.4669909949974,98.49421016474095,93.71117983472307,,,
2011-04-05,19731.380859375,19770.2109375,19523.5390625,19686.8203125,19686.8203125,12600.0,19686.8203125,338.2108411238372,95.41820078316401,95.07735853920637,,,
2011-04-06,19698.609375,19811.140625,19550.55078125,19612.19921875,19612.19921875,14400.0,19612.19921875,336.9288838304726,87.09697851058763,93.6697964861642,,,
2011-04-07,19620.880859375,19665.08984375,19537.01953125,19591.1796875,19591.1796875,9600.0,19591.1796875,336.56777760654995,83.46719202103375,88.6607904382618,,,
2011-04-08,19602.810546875,19697.2109375,19388.419921875,19451.44921875,19451.44921875,10400.0,19451.44921875,334.16727012914083,72.96470446614826,81.17629166592322,,,
2011-04-09,19602.810546875,19697.2109375,19388.419921875,19451.44921875,19451.44921875,10400.0,19451.44921875,334.16727012914083,72.96470446614826,76.46553365111009,,,
2011-04-10,19602.810546875,19697.2109375,19388.419921875,19451.44921875,19451.44921875,10400.0,19451.44921875,334.16727012914083,64.4422733837397,70.1238941053454,,,
2011-04-11,19382.91015625,19426.30078125,19242.58984375,19262.5390625,19262.5390625,9400.0,19262.5390625,330.921877433522,36.674512350188024,58.02716340002533,,,
2011-04-12,19382.91015625,19426.30078125,19242.58984375,19262.5390625,19262.5390625,9400.0,19262.5390625,330.921877433522,13.246894438713424,38.12122672421372,,,
2011-04-13,19187.009765625,19737.330078125,19101.630859375,19696.859375,19696.859375,17800.0,19696.859375,338.3833077648856,83.8929278303406,44.60477820641402,,,
2011-04-14,19187.009765625,19737.330078125,19101.630859375,19696.859375,19696.859375,17800.0,19696.859375,338.3833077648856,83.8929278303406,60.34425003313154,,,
2011-04-15,19670.0703125,19700.9609375,19337.119140625,19386.8203125,19386.8203125,17000.0,19386.8203125,333.0569741851154,40.195282283927334,69.32704598153619,,,
2011-04-16,19670.0703125,19700.9609375,19337.119140625,19386.8203125,19386.8203125,17000.0,19386.8203125,333.0569741851154,40.195282283927334,54.76116413273176,,,
2011-04-17,19670.0703125,19700.9609375,19337.119140625,19386.8203125,19386.8203125,17000.0,19386.8203125,333.0569741851154,40.195282283927334,40.195282283927334,,,
2011-04-18,19389.740234375,19649.220703125,19071.470703125,19091.169921875,19091.169921875,13800.0,19091.169921875,327.9778316062408,2.6632445321102374,27.684603033321636,,,
2011-04-19,19091.779296875,19201.919921875,18976.189453125,19121.830078125,19121.830078125,11400.0,19121.830078125,328.50455949168384,17.443011029368765,20.100512615135447,,,
2011-04-20,19274.2109375,19484.76953125,19171.029296875,19470.98046875,19470.98046875,15400.0,19470.98046875,334.50280834129717,65.0065177673311,28.3709244429367,,,
2011-04-21,19582.5,19695.98046875,19530.5,19602.23046875,19602.23046875,15200.0,19602.23046875,336.757625126988,82.25037464331903,54.89996781333963,,,
2011-04-22,19582.5,19695.98046875,19530.5,19602.23046875,19602.23046875,15200.0,19602.23046875,336.757625126988,82.25037464331903,76.50242235132306,,,
2011-04-23,19582.5,19695.98046875,19530.5,19602.23046875,19602.23046875,15200.0,19602.23046875,336.757625126988,82.25037464331903,82.25037464331903,,,
2011-04-24,19582.5,19695.98046875,19530.5,19602.23046875,19602.23046875,15200.0,19602.23046875,336.757625126988,82.25037464331903,82.25037464331903,,,
2011-04-25,19538.51953125,19697.490234375,19531.33984375,19584.310546875,19584.310546875,11400.0,19584.310546875,336.44976881733453,79.896023648718,81.46559097845203,,,
2011-04-26,19596.3203125,19626.130859375,19306.919921875,19545.349609375,19545.349609375,11600.0,19545.349609375,335.780437191725,74.77726684868516,78.97455504690738,,,
2011-04-27,19610.7109375,19633.630859375,19412.7890625,19448.689453125,19448.689453125,13400.0,19448.689453125,334.11985857976316,62.077884753556546,72.2503917503199,,,
2011-04-28,19532.849609375,19542.05078125,19265.919921875,19292.01953125,19292.01953125,14000.0,19292.01953125,331.42833881095083,43.576504447792004,60.14388535001124,,,
2011-04-29,19292.5703125,19356.5,19015.05078125,19135.9609375,19135.9609375,10600.0,19135.9609375,328.747321388179,22.044394380771955,42.56626119404017,,,
2011-04-30,19292.5703125,19356.5,19015.05078125,19135.9609375,19135.9609375,10600.0,19135.9609375,328.747321388179,22.044394380771955,29.221764403111973,,,
