,Open,High,Low,Close,Adj Close,Volume,Call Price,Put Price,%K,%D,SMA 183,SMA 365,SMA 1095
2011-03-18,11777.23046875,11927.08984375,11777.23046875,11858.51953125,11858.51953125,355050000.0,11858.51953125,187.60510748981054,,,,,
2011-03-19,11777.23046875,11927.08984375,11777.23046875,11858.51953125,11858.51953125,355050000.0,11858.51953125,187.60510748981054,,,,,
2011-03-20,11777.23046875,11927.08984375,11777.23046875,11858.51953125,11858.51953125,355050000.0,11858.51953125,187.60510748981054,,,,,
2011-03-21,11860.1103515625,12078.2998046875,11860.1103515625,12036.5302734375,12036.5302734375,143390000.0,12036.5302734375,190.42128739611513,,,,,
2011-03-22,12036.3701171875,12050.98046875,12002.849609375,12018.6298828125,12018.6298828125,115660000.0,12018.6298828125,190.1380981920612,,,,,
2011-03-23,12018.400390625,12116.1396484375,11972.6103515625,12086.01953125,12086.01953125,133940000.0,12086.01953125,191.2042213455882,,,,,
2011-03-24,12087.5400390625,12191.1796875,12087.5400390625,12170.5595703125,12170.5595703125,131610000.0,12170.5595703125,192.54166849265556,,,,,
2011-03-25,12170.7099609375,12259.7900390625,12170.7099609375,12220.58984375,12220.58984375,129790000.0,12220.58984375,193.33316146117096,,,,,
2011-03-26,12170.7099609375,12259.7900390625,12170.7099609375,12220.58984375,12220.58984375,129790000.0,12220.58984375,193.33316146117096,,,,,
2011-03-27,12170.7099609375,12259.7900390625,12170.7099609375,12220.58984375,12220.58984375,129790000.0,12220.58984375,193.33316146117096,,,,,
2011-03-28,12221.1904296875,12272.919921875,12197.8798828125,12197.8798828125,12197.8798828125,123070000.0,12197.8798828125,192.9738835048003,,,,,
2011-03-29,12194.48046875,12285.41015625,12173.509765625,12279.009765625,12279.009765625,129030000.0,12279.009765625,194.25738102281386,,,,,
2011-03-30,12280.0703125,12383.4599609375,12280.0703125,12350.6103515625,12350.6103515625,140340000.0,12350.6103515625,195.39012238953674,,,,,
2011-03-31,12350.759765625,12381.6796875,12319.009765625,12319.73046875,12319.73046875,186140000.0,12319.73046875,194.9015939759312,89.48756320687394,,,,
2011-04-01,12321.01953125,12419.7099609375,12321.01953125,12376.7197265625,12376.7197265625,147600000.0,12376.7197265625,195.80318003053978,93.30869935962815,,,,
2011-04-02,12321.01953125,12419.7099609375,12321.01953125,12376.7197265625,12376.7197265625,147600000.0,12376.7197265625,195.80318003053978,93.30869935962815,92.03498730871009,,,
2011-04-03,12321.01953125,12419.7099609375,12321.01953125,12376.7197265625,12376.7197265625,147600000.0,12376.7197265625,195.80318003053978,92.31767970263337,92.97835947396322,,,
