,Open,High,Low,Close,Adj Close,Volume,Call Price,Put Price,%K,%D,SMA 183,SMA 365,SMA 1095
2011-03-18,9083.9501953125,9275.599609375,9073.25,9206.75,9206.75,245400000.0,9206.75,154.48644002530094,,,,,
2011-03-19,9083.9501953125,9275.599609375,9073.25,9206.75,9206.75,245400000.0,9206.75,154.48644002530094,,,,,
2011-03-20,9083.9501953125,9275.599609375,9073.25,9206.75,9206.75,245400000.0,9206.75,154.48644002530094,,,,,
2011-03-21,9083.9501953125,9275.599609375,9073.25,9206.75,9206.75,245400000.0,9206.75,154.48644002530094,,,,,
2011-03-22,9403.0498046875,9625.0302734375,9395.849609375,9608.3203125,9608.3203125,252600000.0,9608.3203125,161.22466665228362,,,,,
2011-03-23,9590.3798828125,9592.400390625,9387.9501953125,9449.4697265625,9449.4697265625,265100000.0,9449.4697265625,158.5592025615439,,,,,
2011-03-24,9479.76953125,9509.849609375,9418.7099609375,9435.009765625,9435.009765625,200100000.0,9435.009765625,158.31656885386866,,,,,
2011-03-25,9565.490234375,9569.7099609375,9469.3701171875,9536.1298828125,9536.1298828125,203700000.0,9536.1298828125,160.0133333928469,,,,,
2011-03-26,9565.490234375,9569.7099609375,9469.3701171875,9536.1298828125,9536.1298828125,203700000.0,9536.1298828125,160.0133333928469,,,,,
2011-03-27,9565.490234375,9569.7099609375,9469.3701171875,9536.1298828125,9536.1298828125,203700000.0,9536.1298828125,160.0133333928469,,,,,
2011-03-28,9541.759765625,9541.759765625,9405.2001953125,9478.5302734375,9478.5302734375,192700000.0,9478.5302734375,159.04682962124548,,,,,
2011-03-29,9348.599609375,9502.23046875,9317.3798828125,9459.080078125,9459.080078125,200600000.0,9459.080078125,158.72046131194793,,,,,
2011-03-30,9489.509765625,9708.7900390625,9479.0302734375,9708.7900390625,9708.7900390625,217100000.0,9708.7900390625,162.91051783613847,,,,,
2011-03-31,9765.2802734375,9765.8095703125,9658.6396484375,9755.099609375,9755.099609375,187100000.0,9755.099609375,163.68757821647677,98.45356827100557,,,,
2011-04-01,9757.2802734375,9822.0595703125,9698.599609375,9708.3896484375,9708.3896484375,191500000.0,9708.3896484375,162.90379940430577,84.81991598644201,,,,
2011-04-02,9757.2802734375,9822.0595703125,9698.599609375,9708.3896484375,9708.3896484375,191500000.0,9708.3896484375,162.90379940430577,84.81991598644201,89.3644667479632,,,
2011-04-03,9757.2802734375,9822.0595703125,9698.599609375,9708.3896484375,9708.3896484375,191500000.0,9708.3896484375,162.90379940430577,84.81991598644201,84.81991598644201,,,
2011-04-04,9773.91015625,9808.599609375,9718.8896484375,9718.8896484375,9718.8896484375,171800000.0,9718.8896484375,163.0799861825137,79.55734608894875,83.06572602061091,,,
2011-04-05,9732.259765625,9732.259765625,9566.0498046875,9615.5498046875,9615.5498046875,182900000.0,9615.5498046875,161.3459753129117,59.08102292605149,74.48609500048074,,,
2011-04-06,9668.1103515625,9671.4599609375,9562.16015625,9584.3701171875,9584.3701171875,203300000.0,9584.3701171875,160.82278972375414,52.90290871375718,63.84709257625247,,,
2011-04-07,9652.650390625,9687.1796875,9578.4697265625,9590.9296875,9590.9296875,165400000.0,9590.9296875,160.93285730087675,54.20265793588136,55.39552985856334,,,
2011-04-08,9586.169921875,9804.2802734375,9536.6796875,9768.080078125,9768.080078125,215000000.0,9768.080078125,163.90538649920924,89.30420749547207,65.46992471503687,,,
2011-04-09,9586.169921875,9804.2802734375,9536.6796875,9768.080078125,9768.080078125,215000000.0,9768.080078125,163.90538649920924,89.30420749547207,77.6036909756085,,,
2011-04-10,9586.169921875,9804.2802734375,9536.6796875,9768.080078125,9768.080078125,215000000.0,9768.080078125,163.90538649920924,89.30420749547207,89.30420749547207,,,
2011-04-11,9731.3203125,9775.599609375,9700.75,9719.7001953125,9719.7001953125,147500000.0,9719.7001953125,163.09358691037014,79.71795229028314,86.10878909374242,,,
2011-04-12,9603.5,9603.6396484375,9513.26953125,9555.259765625,9555.259765625,169000000.0,9555.259765625,160.33432695667827,22.22244364605337,63.74820114393619,,,
2011-04-13,9516.5,9655.830078125,9516.5,9641.1796875,9641.1796875,157400000.0,9641.1796875,161.7760368823003,41.423018902533514,47.78780494629,,,
2011-04-14,9579.7900390625,9676.9697265625,9553.75,9653.919921875,9653.919921875,153100000.0,9653.919921875,161.98981410593316,45.5488755570033,36.39811270186339,,,
2011-04-15,9646.2197265625,9651.9599609375,9577.9599609375,9591.51953125,9591.51953125,147900000.0,9591.51953125,160.94275469801565,25.34084332434116,37.437579261292655,,,
2011-04-16,9646.2197265625,9651.9599609375,9577.9599609375,9591.51953125,9591.51953125,147900000.0,9591.51953125,160.94275469801565,25.34084332434116,32.076854068561865,,,
2011-04-17,9646.2197265625,9651.9599609375,9577.9599609375,9591.51953125,9591.51953125,147900000.0,9591.51953125,160.94275469801565,26.495777367749273,25.72582133881053,,,
2011-04-18,9593.41015625,9608.919921875,9539.0302734375,9556.650390625,9556.650390625,110100000.0,9556.650390625,160.3576612174826,14.906961526200105,22.247860739430177,,,
2011-04-19,9448.650390625,9478.8701171875,9405.1904296875,9441.0302734375,9441.0302734375,131500000.0,9441.0302734375,158.4175911276458,8.980394843736237,16.794377912561867,,,
2011-04-20,9536.7900390625,9631.0,9519.3603515625,9606.8203125,9606.8203125,125900000.0,9606.8203125,161.1994971125396,50.522428964342694,24.803261778093006,,,
2011-04-21,9686.26953125,9725.1201171875,9643.919921875,9685.76953125,9685.76953125,118000000.0,9685.76953125,162.52424077859618,70.30474615090978,43.269189986329565,,,
