,Open,High,Low,Close,Adj Close,Volume,Call Price,Put Price,%K,%D,SMA 183,SMA 365,SMA 1095
2011-03-18,789.8699951171875,795.52001953125,789.8699951171875,794.6599731445312,794.6599731445312,4685500000.0,794.6599731445312,16.2893133119447,,,,,
2011-03-19,789.8699951171875,795.52001953125,789.8699951171875,794.6599731445312,794.6599731445312,4685500000.0,794.6599731445312,16.2893133119447,,,,,
2011-03-20,789.8699951171875,795.52001953125,789.8699951171875,794.6599731445312,794.6599731445312,4685500000.0,794.6599731445312,16.2893133119447,,,,,
2011-03-21,801.75,813.02001953125,801.75,813.02001953125,813.02001953125,4223730000.0,813.02001953125,16.665666164890904,,,,,
2011-03-22,813.7100219726562,814.8800048828125,807.1599731445312,808.6599731445312,808.6599731445312,3576550000.0,808.6599731445312,16.576291886522718,,,,,
2011-03-23,806.9199829101562,813.0700073242188,799.22998046875,811.239990234375,811.239990234375,3842350000.0,811.239990234375,16.629178288439167,,,,,
2011-03-24,815.5700073242188,818.9099731445312,809.9199829101562,817.0999755859375,817.0999755859375,4223740000.0,817.0999755859375,16.749299020099134,,,,,
2011-03-25,820.52001953125,831.6300048828125,818.5399780273438,823.8499755859375,823.8499755859375,4223740000.0,823.8499755859375,16.887663689984965,,,,,
2011-03-26,820.52001953125,831.6300048828125,818.5399780273438,823.8499755859375,823.8499755859375,4223740000.0,823.8499755859375,16.887663689984965,,,,,
2011-03-27,820.52001953125,831.6300048828125,818.5399780273438,823.8499755859375,823.8499755859375,4223740000.0,823.8499755859375,16.887663689984965,,,,,
2011-03-28,826.2100219726562,828.72998046875,821.47998046875,821.77001953125,821.77001953125,3215170000.0,821.77001953125,16.845027774002165,,,,,
2011-03-29,820.969970703125,829.7000122070312,818.3200073242188,829.489990234375,829.489990234375,3482580000.0,829.489990234375,17.00327535887123,,,,,
2011-03-30,833.02001953125,840.760009765625,832.760009765625,840.3699951171875,840.3699951171875,3809570000.0,840.3699951171875,17.226298808347764,,,,,
2011-03-31,839.5800170898438,843.72998046875,838.489990234375,843.5499877929688,843.5499877929688,3566270000.0,843.5499877929688,17.291483791580923,99.66581373053414,,,,
2011-04-01,847.8699951171875,850.72998046875,844.1099853515625,846.77001953125,846.77001953125,4223740000.0,846.77001953125,17.35748951432006,93.49332584517566,,,,
2011-04-02,847.8699951171875,850.72998046875,844.1099853515625,846.77001953125,846.77001953125,4223740000.0,846.77001953125,17.35748951432006,93.49332584517566,95.55082180696182,,,
2011-04-03,847.8699951171875,850.72998046875,844.1099853515625,846.77001953125,846.77001953125,4223740000.0,846.77001953125,17.35748951432006,92.31075546116504,93.09913571717213,,,
2011-04-04,846.739990234375,850.52001953125,846.739990234375,849.3599853515625,849.3599853515625,4223740000.0,849.3599853515625,17.410579849985712,97.33981530643204,94.38129887092425,,,
2011-04-05,849.3300170898438,858.0499877929688,847.469970703125,853.3099975585938,853.3099975585938,3852280000.0,853.3099975585938,17.491549055181395,91.94153409698175,93.86403495485962,,,
2011-04-06,856.719970703125,859.0800170898438,850.530029296875,854.1699829101562,854.1699829101562,4223740000.0,854.1699829101562,17.50917743877778,90.01214246161716,93.09783062167698,,,
2011-04-07,854.0599975585938,857.9199829101562,848.3200073242188,849.4400024414062,849.4400024414062,4005600000.0,849.4400024414062,17.41222007787037,76.34933184788534,86.10100280216142,,,
2011-04-08,854.0499877929688,854.0499877929688,837.9199829101562,840.8900146484375,840.8900146484375,3582810000.0,840.8900146484375,17.23695841290711,55.37291932460033,73.91146454470095,,,
2011-04-09,854.0499877929688,854.0499877929688,837.9199829101562,840.8900146484375,840.8900146484375,3582810000.0,840.8900146484375,17.23695841290711,55.37291932460033,62.36505683236201,,,
2011-04-10,854.0499877929688,854.0499877929688,837.9199829101562,840.8900146484375,840.8900146484375,3582810000.0,840.8900146484375,17.23695841290711,55.37291932460033,55.37291932460033,,,
2011-04-11,841.5399780273438,843.0999755859375,830.8499755859375,833.8599853515625,833.8599853515625,3478970000.0,833.8599853515625,17.092853570988616,38.12555030457674,49.6237963179258,,,
2011-04-12,830.1799926757812,830.97998046875,822.27001953125,822.27001953125,822.27001953125,4275490000.0,822.27001953125,16.855277008808525,0.0,31.16615654305902,,,
2011-04-13,827.6400146484375,829.280029296875,818.5,823.9199829101562,823.9199829101562,3850860000.0,823.9199829101562,16.88909873299313,13.356285430231491,17.160611911602743,,,
2011-04-14,818.4600219726562,827.6300048828125,816.5,827.469970703125,827.469970703125,3872630000.0,827.469970703125,16.96186804989281,25.76318999585741,13.039825142029633,,,
2011-04-15,825.9000244140625,835.27001953125,824.3900146484375,834.97998046875,834.97998046875,4223740000.0,834.97998046875,17.115811756864673,43.40059429698508,27.506689907691328,,,
2011-04-16,825.9000244140625,835.27001953125,824.3900146484375,834.97998046875,834.97998046875,4223740000.0,834.97998046875,17.115811756864673,43.40059429698508,37.521459529942526,,,
2011-04-17,825.9000244140625,835.27001953125,824.3900146484375,834.97998046875,834.97998046875,4223740000.0,834.97998046875,17.115811756864673,43.40059429698508,43.40059429698508,,,
2011-04-18,826.989990234375,826.989990234375,816.0700073242188,821.510009765625,821.510009765625,4223740000.0,821.510009765625,16.839697971722494,12.648224148402953,33.1498042474577,,,
2011-04-19,821.5,827.2999877929688,818.27001953125,823.010009765625,823.010009765625,3886300000.0,823.010009765625,16.870445676141568,16.135784388853885,24.061534278080643,,,
2011-04-20,825.97998046875,839.4500122070312,825.97998046875,839.4500122070312,839.4500122070312,4236280000.0,839.4500122070312,17.20744056661971,55.8662330275497,28.216747188268844,,,
2011-04-21,843.1799926757812,845.6400146484375,839.2999877929688,845.6400146484375,845.6400146484375,3587240000.0,845.6400146484375,17.33432614356751,77.85682604168007,49.95294781936121,,,
2011-04-22,843.1799926757812,845.6400146484375,839.2999877929688,845.6400146484375,845.6400146484375,3587240000.0,845.6400146484375,17.33432614356751,77.85682604168007,70.52662837030327,,,
2011-04-23,843.1799926757812,845.6400146484375,839.2999877929688,845.6400146484375,845.6400146484375,3587240000.0,845.6400146484375,17.33432614356751,77.85682604168007,77.85682604168007,,,
2011-04-24,843.1799926757812,845.6400146484375,839.2999877929688,845.6400146484375,845.6400146484375,3587240000.0,845.6400146484375,17.33432614356751,100.0,85.23788402778672,,,
2011-04-25,844.5,845.5800170898438,839.3900146484375,844.22998046875,844.22998046875,2142130000.0,844.22998046875,17.305422600782297,95.23153929511327,91.02945511226444,,,
2011-04-26,845.97998046875,856.8400268554688,845.25,853.0399780273438,853.0399780273438,3908060000.0,853.0399780273438,17.486014068025227,90.6793058433237,95.30361504614565,,,
2011-04-27,852.9600219726562,858.4199829101562,850.0700073242188,858.3099975585938,858.3099975585938,4051570000.0,858.3099975585938,17.594041403244976,99.74029417953426,95.21704643932374,,,
2011-04-28,857.2000122070312,861.5499877929688,856.2999877929688,861.5499877929688,861.5499877929688,4036820000.0,861.5499877929688,17.660456244609808,100.0,96.80653334095264,,,
2011-04-29,862.9600219726562,866.9000244140625,860.6500244140625,865.2899780273438,865.2899780273438,3479070000.0,865.2899780273438,17.737120320780996,96.83248899194163,98.85759439049197,,,
2011-04-30,862.9600219726562,866.9000244140625,860.6500244140625,865.2899780273438,865.2899780273438,3479070000.0,865.2899780273438,17.737120320780996,96.83248899194163,97.88832599462775,,,
2011-05-01,862.9600219726562,866.9000244140625,860.6500244140625,865.2899780273438,865.2899780273438,3479070000.0,865.2899780273438,17.737120320780996,96.83248899194163,96.83248899194163,,,
2011-05-02,865.5900268554688,868.5700073242188,854.280029296875,854.77001953125,854.77001953125,3846250000.0,854.77001953125,17.521477271221787,72.56462993635597,88.74320264007974,,,
2011-05-03,853.0800170898438,854.7899780273438,838.8599853515625,843.77001953125,843.77001953125,4223740000.0,843.77001953125,17.295994105481917,41.770434009988605,70.38918431276208,,,
2011-05-04,843.8800048828125,843.8800048828125,828.8599853515625,832.9000244140625,832.9000244140625,4223740000.0,832.9000244140625,17.07317584088188,10.173852498197842,41.50297214818081,,,
2011-05-05,828.2100219726562,840.5999755859375,825.5499877929688,829.239990234375,829.239990234375,3846250000.0,829.239990234375,16.998150741468052,8.57740763861302,20.173898048933157,,,
2011-05-06,829.2100219726562,843.530029296875,829.2100219726562,833.3400268554688,833.3400268554688,4223740000.0,833.3400268554688,17.082195217556563,18.107939390499972,12.286399842436944,,,
2011-05-07,829.2100219726562,843.530029296875,829.2100219726562,833.3400268554688,833.3400268554688,4223740000.0,833.3400268554688,17.082195217556563,18.107939390499972,14.931095473204323,,,
2011-05-08,829.2100219726562,843.530029296875,829.2100219726562,833.3400268554688,833.3400268554688,4223740000.0,833.3400268554688,17.082195217556563,18.107939390499972,18.107939390499972,,,
2011-05-09,832.3800048828125,843.5599975585938,831.9500122070312,842.7999877929688,842.7999877929688,4265250000.0,842.7999877929688,17.276109939371384,40.09761080528914,25.43782986209636,,,
2011-05-10,846.4000244140625,855.9099731445312,846.2999877929688,855.9099731445312,855.9099731445312,4223740000.0,855.9099731445312,17.54484457572354,70.57176096702797,42.925770387605695,,,
2011-05-11,855.9000244140625,855.9000244140625,837.27001953125,840.6599731445312,840.6599731445312,3846250000.0,840.6599731445312,17.232242914129625,35.12314851597525,48.59750676276412,,,
2011-05-12,837.010009765625,849.22998046875,831.5999755859375,847.530029296875,847.530029296875,3777210000.0,847.530029296875,17.373068551406092,51.09258838885421,52.26249929061914,,,
